Ma_San_Pham,Trong_Luong,Muc_Beo,Ti_Le_Hien_Thi,Loai_Hang,Gia_Niem_Yet,Ma_Cua_Hang,Nam_Mo_Cua,Quy_Mo,Loai_Do_Thi,Kieu_Cua_Hang,Doanh_So
FDX58,,BeoThap,0.043551753,Do_An_Vat,184.495,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,7873.085
FDU43,19.35,BeoThuong,0.0,Rau_Cu_Qua,238.6564,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,3575.346
FDV34,10.695,BeoThuong,0.01141595,Do_An_Vat,74.0038,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,1034.6532
FDX38,10.5,BeoThuong,0.0481669,Sua_Bo,48.8376,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,671.1264
FDX11,16.0,BeoThuong,0.106752081,Do_Nuong,181.4634,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,1090.5804
NCJ29,10.6,BeoThap,0.035264298,Y_Te_Ve_Sinh,86.1224,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,426.112
FDE17,20.1,BeoThuong,0.0,Do_Dong_Lanh,152.2366,OUT010,1998,,Do_Thi_3,Tap_Hoa,151.1366
FDL10,,BeoThap,0.039300964,Do_An_Vat,99.5042,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,1884.8798
FDO19,17.7,BeoThuong,0.016582833,Rau_Cu_Qua,50.5034,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,1458.102
FDL20,,BeoThap,0.224837308,Rau_Cu_Qua,112.7886,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,222.3772
NCK31,10.895,BeoThap,0.027157955,Khac,50.2666,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,820.2656
NCL19,15.35,BeoThap,0.015673267,Khac,145.047,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,2719.793
FDB41,,BeoThuong,0.170382726,Do_Dong_Lanh,45.2718,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,47.2718
NCS54,13.6,BeoThap,0.010008699,Do_Gia_Dung,176.737,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,4940.236
FDP07,18.2,BeoThap,0.089901774,Rau_Cu_Qua,197.511,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,392.822
NCB55,15.7,BeoThap,0.160663021,Do_Gia_Dung,59.4562,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,829.5868
FDC58,10.195,BeoThap,0.041934387,Do_An_Vat,44.6428,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,615.1992
FDV31,9.8,BThap,0.0,Rau_Cu_Qua,175.237,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,3881.614
FDO48,15.0,BeoThuong,0.026950104,Do_Nuong,220.9456,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1768.3648
FDI19,15.1,beothap,0.0,Thit_Tuoi,244.2512,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,3635.268
NCM31,6.095,BeoThap,0.08152738,Khac,140.3154,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1843.6002
FDA13,,BeoThap,0.078174543,Do_Hop,39.9506,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,721.0614
FDR56,,BeoThuong,0.100277876,Rau_Cu_Qua,196.8768,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,7094.7648
NCA18,10.1,BeoThap,0.056030907,Do_Gia_Dung,115.1492,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,1737.738
FDE04,19.75,BeoThuong,0.018096488,Do_Dong_Lanh,179.566,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,2696.49
FDB11,16.0,BeoThap,0.060836524,Thuc_Pham_Bot,226.8404,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,6301.1312
NCN43,12.15,BeoThap,0.006770252,Khac,124.473,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,1231.73
FDF05,,BeoThap,0.026740767,Do_Dong_Lanh,261.291,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,5522.811
NCK42,7.475,BeoThap,0.01319424,Do_Gia_Dung,217.4192,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,4314.384
FDZ14,,BeoThuong,0.047358246,Sua_Bo,123.1756,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,3998.7948
FDU50,5.75,BeoThuong,0.075322658,Sua_Bo,116.3176,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,2519.3872
FDG41,8.84,BeoThuong,0.076995176,Do_Dong_Lanh,112.0228,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1215.7508
FDK16,9.065,BeoThap,0.115563679,Do_Dong_Lanh,96.0094,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1713.7692
NCH42,6.86,BeoThap,0.036686158,Do_Gia_Dung,229.601,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,2526.711
NCP30,20.5,BeoThap,0.032762495,Do_Gia_Dung,40.0822,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1257.0304
FDU12,15.5,BeoThuong,0.075736746,Do_Nuong,265.5568,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,4482.1656
FDE21,12.8,BeoThap,0.02299122,Rau_Cu_Qua,114.9492,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1737.738
FDY08,9.395,BeoThuong,0.171422166,Rau_Cu_Qua,139.1838,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1685.8056
NCV30,20.2,BeoThap,0.066065799,Do_Gia_Dung,61.351,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1201.769
DRF36,,BeoThap,0.023463124,Nuoc_Giai_Khat,190.6846,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,9554.23
FDL38,13.8,beothuong,0.014730322,Do_Hop,90.9172,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,2141.2128
NCO06,19.25,BThap,0.108010006,Do_Gia_Dung,33.3558,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,713.0718
FDS04,10.195,BeoThuong,0.147492524,Do_Dong_Lanh,141.5838,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1685.8056
FDI10,8.51,BeoThuong,0.078526225,Do_An_Vat,173.5422,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,5000.8238
FDR13,9.895,BeoThuong,0.028837829,Do_Hop,117.8492,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1506.0396
FDI32,17.7,BeoThap,0.174228338,Rau_Cu_Qua,117.1834,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,691.1004
FDG38,8.975,BeoThuong,0.0,Do_Hop,84.9224,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1278.336
NCD19,8.93,BeoThap,0.022059594,Do_Gia_Dung,56.0614,OUT010,1998,,Do_Thi_3,Tap_Hoa,276.307
FDB37,20.25,BeoThuong,0.022940826,Do_Nuong,241.8538,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,5768.4912
FDF21,10.3,BeoThuong,0.098464979,Rau_Cu_Qua,188.653,OUT010,1998,,Do_Thi_3,Tap_Hoa,189.753
FDJ41,6.85,BeoThap,0.023012718,Do_Dong_Lanh,262.0594,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1569.9564
FDL08,10.8,BeoThap,0.049709624,Rau_Cu_Qua,246.8144,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,2450.144
DRG23,8.88,BeoThap,0.086916126,Do_Uong_Con,153.3682,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,1219.7456
DRO47,10.195,BeoThap,0.112859454,Do_Uong_Con,114.486,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,2490.092
FDS56,5.785,BeoThuong,0.038976089,Rau_Cu_Qua,264.2252,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,3934.878
FDQ12,,BeoThap,0.061999648,Do_Nuong,230.001,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,689.103
FDX04,19.6,BeoThuong,0.041740902,Do_Dong_Lanh,49.2376,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,958.752
FDE56,17.25,BeoThuong,0.159165324,Rau_Cu_Qua,63.4194,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1547.985
NCH06,12.3,BeoThap,0.076709639,Do_Gia_Dung,247.846,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,3448.844
FDS26,20.35,BeoThap,0.089975294,Sua_Bo,261.6594,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,7588.1226
FDO22,13.5,BeoThuong,0.017960492,Do_An_Vat,81.596,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,639.168
FDA01,15.0,BeoThuong,0.054599767,Do_Hop,59.4904,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,644.4944
FDB10,10.0,BeoThap,0.067312613,Do_An_Vat,234.359,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,3072.667
FDF47,20.85,BeoThap,0.098170402,Thuc_Pham_Bot,224.0746,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,2243.746
FDZ02,6.905,BeoThuong,0.03822479,Sua_Bo,99.8726,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,587.2356
FDG16,15.25,BeoThap,0.089998959,Do_Dong_Lanh,215.1192,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,2157.192
FDK51,19.85,BeoThap,0.005235143,Sua_Bo,265.8884,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,2649.884
DRP35,18.85,BeoThap,0.090850115,Do_Uong_Con,126.6336,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1150.5024
FDN10,11.5,BeoThap,0.0463847,Do_An_Vat,118.9124,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1540.6612
FDQ31,5.785,BeoThuong,0.054066567,Rau_Cu_Qua,87.0856,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1406.1696
FDU11,4.785,BeoThap,0.092516598,Banh_Mi,120.1098,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,1325.6078
NCN41,,BeoThap,0.091411749,Y_Te_Ve_Sinh,121.373,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,369.519
FDS04,10.195,BeoThuong,0.146635206,Do_Dong_Lanh,139.0838,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,3652.5788
NCU30,5.11,BeoThap,0.034868095,Do_Gia_Dung,163.821,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,2120.573
DRY23,,BeoThuong,0.191013663,Nuoc_Giai_Khat,42.1112,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,42.6112
DRK11,8.21,BeoThap,0.0,Do_Uong_Con,148.2392,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1491.392
FDH24,20.7,BeoThap,0.021552357,Do_Nuong,157.0288,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,2985.4472
FDZ25,15.7,BeoThuong,0.027594064,Do_Hop,171.179,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,1867.569
NCR54,16.35,BeoThap,0.0,Do_Gia_Dung,198.211,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,2946.165
FDX15,,BeoThap,0.155541973,Thit_Tuoi,159.7578,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,641.8312
FDN28,5.88,BeoThuong,0.030371121,Do_Dong_Lanh,101.799,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1960.781
FDX31,,BeoThuong,0.0,Rau_Cu_Qua,234.7958,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,467.3916
FDX52,11.5,BeoThuong,0.04224015,Do_Dong_Lanh,194.982,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,3089.312
NCI06,11.3,BeoThap,0.047912071,Do_Gia_Dung,179.866,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1258.362
FDQ49,20.2,BeoThuong,0.039215075,Do_An_Sang,157.663,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,2190.482
NCF42,17.35,BeoThap,0.167243769,Do_Gia_Dung,176.2712,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,2988.1104
FDW28,18.25,BeoThap,0.088807455,Do_Dong_Lanh,197.3452,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,2740.4328
FDP49,9.0,BeoThuong,0.069196376,Do_An_Sang,54.3614,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,718.3982
FDC29,8.39,BeoThuong,0.024304264,Do_Dong_Lanh,114.0176,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1488.7288
FDE09,8.775,BeoThap,0.0,Rau_Cu_Qua,111.3228,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,1436.7964
NCT06,17.1,BeoThap,0.038816115,Do_Gia_Dung,166.4842,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1326.2736
FDU46,10.3,BeoThuong,0.011189235,Do_An_Vat,86.654,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,2423.512
FDM40,10.195,BeoThap,0.159803853,Do_Dong_Lanh,141.5154,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,850.8924
FDY13,12.1,BThap,0.030174246,Do_Hop,76.667,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,1531.34
NCO17,,BeoThap,0.128478462,Y_Te_Ve_Sinh,117.944,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,239.688
NCX05,15.2,BeoThap,0.09698132,Y_Te_Ve_Sinh,116.3492,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,2548.6824
FDX50,,BeoThap,0.074265816,Sua_Bo,109.5228,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,3757.7752
FDC50,15.85,BeoThap,0.136497913,Do_Hop,96.3094,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,2856.282
FDH21,10.395,BeoThap,0.031288338,Hai_San,159.5604,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,2852.2872
FDA08,,BeoThuong,0.049842613,Rau_Cu_Qua,164.2526,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,3946.8624
FDH10,,BeoThap,0.049066248,Do_An_Vat,192.4478,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,8912.3988
FDH44,19.1,BeoThuong,0.025924623,Rau_Cu_Qua,148.0418,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,3825.6868
FDI07,12.35,BeoThuong,0.033760862,Thit_Tuoi,196.9426,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,5141.3076
FDU57,8.27,BeoThuong,0.149895348,Do_An_Vat,152.0708,OUT010,1998,,Do_Thi_3,Tap_Hoa,451.4124
FDL44,18.25,BeoThap,0.012272797,Rau_Cu_Qua,160.2894,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,3235.788
NCO05,7.27,BeoThap,0.046749112,Y_Te_Ve_Sinh,100.4384,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1970.768
FDE41,9.195,BeoThuong,0.064376263,Do_Dong_Lanh,83.1566,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1099.2358
FDD21,10.3,BeoThuong,0.030569229,Rau_Cu_Qua,113.1176,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,4695.2216
FDF45,18.2,BeoThuong,0.012223687,Rau_Cu_Qua,57.1904,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,1640.5312
FDA39,,BThap,0.012656359,Thit_Tuoi,37.8822,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,1021.3372
FDT24,,BeoThuong,0.0,Do_Nuong,75.9328,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,3012.0792
FDI48,11.85,BeoThuong,0.055672032,Do_Nuong,50.5666,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,922.7988
NCM30,19.1,BeoThap,0.067295406,Do_Gia_Dung,41.9796,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,701.7532
FDM58,16.85,BeoThuong,0.080015028,Do_An_Vat,111.8544,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1677.816
FDV60,,BeoThuong,0.205484395,Do_Nuong,198.011,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,392.822
FDG10,6.63,BeoThuong,0.010937229,Do_An_Vat,55.8588,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,801.6232
FDB53,13.35,BeoThap,0.139669224,Do_Dong_Lanh,147.6392,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,1938.8096
FDR48,11.65,BeoThap,0.132248069,Do_Nuong,150.5024,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,3187.8504
FDN39,,BeoThuong,0.065203103,Thit_Tuoi,166.0816,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,5033.448
NCI54,15.2,BeoThap,0.033592687,Do_Gia_Dung,108.1912,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1856.2504
NCW41,18.0,BeoThap,0.01548171,Y_Te_Ve_Sinh,159.3604,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,2059.9852
FDT32,19.0,BeoThuong,0.065901299,Rau_Cu_Qua,188.7214,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1695.7926
FDQ12,12.65,BeoThap,0.035404052,Do_Nuong,230.601,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,2067.309
FDE45,12.1,BeoThap,0.040521714,Rau_Cu_Qua,178.5002,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,5552.1062
FDO50,16.25,BeoThap,0.078168739,Do_Hop,91.3804,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,1653.8472
FDA13,15.85,BeoThap,0.078999287,Do_Hop,38.6506,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,759.012
NCR30,20.6,BeoThap,0.071282168,Do_Gia_Dung,74.4696,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,223.7088
FDY59,8.195,BeoThap,0.031403441,Do_Nuong,93.8462,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,647.8234
FDL25,6.92,BeoThuong,0.131458247,Do_An_Sang,90.5804,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,183.7608
FDP56,8.185,BeoThap,0.046747071,Rau_Cu_Qua,49.9692,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,837.5764
FDZ12,9.17,BeoThap,0.102978817,Do_Nuong,144.947,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,4294.41
FDV46,,BeoThap,0.022074764,Do_An_Vat,141.418,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,559.272
DRI25,19.6,BThap,0.034093203,Nuoc_Giai_Khat,56.6614,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1492.0578
FDV01,19.2,BeoThuong,0.142189843,Do_Hop,153.8314,OUT010,1998,,Do_Thi_3,Tap_Hoa,155.1314
NCA41,16.75,BeoThap,0.032637373,Y_Te_Ve_Sinh,191.6162,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,3463.4916
FDP24,20.6,BeoThap,0.082935004,Do_Nuong,119.5756,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,2665.8632
FDY11,6.71,BeoThuong,0.029560451,Do_Nuong,65.8142,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,856.8846
DRG15,6.13,BeoThap,0.077169953,Sua_Bo,63.0536,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,1225.072
FDV19,14.85,BeoThuong,0.035257037,Rau_Cu_Qua,161.2578,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,4171.9028
NCQ17,,BeoThap,0.116366304,Y_Te_Ve_Sinh,158.363,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,4068.038
DRJ51,14.1,BeoThap,0.088172355,Sua_Bo,232.2668,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,4146.6024
FDT55,13.6,BeoThuong,0.043902087,Rau_Cu_Qua,157.0946,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,5522.811
FDS27,,BeoThuong,0.0218126,Thit_Tuoi,194.711,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,196.411
FDU14,17.75,BeoThap,0.058168807,Sua_Bo,249.575,OUT010,1998,,Do_Thi_3,Tap_Hoa,499.35
FDR20,20.0,BeoThuong,0.028167478,Rau_Cu_Qua,45.5744,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,452.744
NCW05,20.25,BeoThap,0.148372897,Y_Te_Ve_Sinh,108.8938,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,3644.5892
FDW01,,BeoThap,0.112161697,Do_Hop,154.4682,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,152.4682
NCB31,6.235,BeoThap,0.119345629,Do_Gia_Dung,261.991,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,2366.919
NCK29,,BeoThap,0.0,Y_Te_Ve_Sinh,125.173,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,3572.017
FDK34,13.35,BeoThap,0.038604817,Do_An_Vat,236.3564,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,2145.2076
FDU26,,BeoThuong,0.042412572,Sua_Bo,119.0782,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,1549.3166
FDC29,8.39,BeoThuong,0.024205661,Do_Dong_Lanh,114.0176,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,2290.352
FDR60,14.3,BeoThap,0.131152799,Do_Nuong,78.6328,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,231.6984
FDQ36,7.855,BeoThuong,0.161798604,Do_Nuong,37.2848,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,745.696
FDA45,21.25,BeoThap,0.156012631,Do_An_Vat,177.337,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,2822.992
FDY07,,BeoThap,0.0,Rau_Cu_Qua,45.9402,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,872.8638
NCI31,20.0,BeoThap,0.081492092,Khac,35.519,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1025.332
NCJ06,20.1,BeoThap,0.034646067,Do_Gia_Dung,120.6782,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1310.9602
FDZ01,8.975,BeoThuong,0.009051307,Do_Hop,103.099,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,309.597
NCV54,11.1,BeoThap,0.033102681,Do_Gia_Dung,116.6124,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1540.6612
FDF05,17.5,BeoThap,0.02687089,Do_Dong_Lanh,264.491,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,3681.874
FDS59,14.8,BeoThuong,0.04407225,Banh_Mi,109.057,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1428.141
NCR29,7.565,BeoThap,0.054751689,Y_Te_Ve_Sinh,54.793,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,622.523
FDD50,18.85,BeoThap,0.141862435,Do_Hop,171.0132,OUT049,1999,Vua,Do_Thi_1,Sieu_Thi_1,4396.9432
FDP11,15.85,BeoThap,0.069491408,Banh_Mi,218.2166,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,4789.7652
FDK36,7.09,BeoThap,0.007256127,Do_Nuong,50.4034,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,340.2238
FDS15,9.195,BeoThuong,0.130657442,Thit_Tuoi,106.4596,OUT010,1998,,Do_Thi_3,Tap_Hoa,215.7192
FDZ33,10.195,BeoThap,0.0,Do_An_Vat,147.2076,OUT010,1998,,Do_Thi_3,Tap_Hoa,739.038
FDR46,16.85,BeoThap,0.139301634,Do_An_Vat,144.976,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,2783.044
FDP44,16.5,BeoThuong,0.07964724,Rau_Cu_Qua,101.4332,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,1948.1308
FDP44,16.5,BeoThuong,0.079713576,Rau_Cu_Qua,101.3332,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,1537.998
FDW24,6.8,BeoThap,0.037573095,Do_Nuong,50.2034,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1166.4816
FDO20,12.85,BeoThuong,0.0,Rau_Cu_Qua,252.3382,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,4794.4258
FDO45,,BeoThuong,0.037768989,Do_An_Vat,88.5856,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,1845.5976
FDV16,7.75,BeoThuong,0.082930699,Do_Dong_Lanh,35.2558,OUT046,1997,Nho,Do_Thi_1,Sieu_Thi_1,780.9834
FDD56,15.2,BeoThuong,0.173703549,Rau_Cu_Qua,175.8054,OUT010,1998,,Do_Thi_3,Tap_Hoa,1050.6324
FDR25,17.0,BeoThuong,0.140090284,Do_Hop,265.1884,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,6359.7216
FDU36,6.15,BeoThap,0.046459438,Do_Nuong,100.5384,OUT018,2009,Vua,Do_Thi_3,Sieu_Thi_2,1675.1528
FDE10,,BeoThuong,0.089512542,Do_An_Vat,133.1626,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,3672.5528
FDZ10,,BeoThap,0.077849833,Do_An_Vat,127.202,OUT019,1985,Nho,Do_Thi_1,Tap_Hoa,506.008
FDN39,19.35,BeoThuong,0.109667698,Thit_Tuoi,166.0816,OUT010,1998,,Do_Thi_3,Tap_Hoa,671.1264
FDP31,21.1,BeoThuong,0.162418495,Rau_Cu_Qua,64.9168,OUT017,2007,,Do_Thi_2,Sieu_Thi_1,639.168
FDP32,6.65,BeoThap,0.087652908,Rau_Cu_Qua,128.8678,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1398.8458
FDK52,,BeoThap,0.0,Do_Dong_Lanh,225.3062,OUT027,1985,Vua,Do_Thi_3,Sieu_Thi_3,4288.4178
DRL37,15.5,BeoThap,0.053362086,Nuoc_Giai_Khat,41.577,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,735.709
NCN41,17.0,BeoThap,0.087387669,Y_Te_Ve_Sinh,125.073,OUT010,1998,,Do_Thi_3,Tap_Hoa,369.519
FDS40,15.35,BeoThap,0.014047825,Do_Dong_Lanh,36.719,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,585.904
FDI14,14.1,BeoThap,0.089660816,Do_Hop,140.0496,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,1411.496
NCV29,11.8,BThap,0.022824491,Y_Te_Ve_Sinh,177.0686,OUT013,1987,Lon,Do_Thi_3,Sieu_Thi_1,3022.0662
FDY36,12.3,BeoThap,0.009429612,Do_Nuong,71.338,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1098.57
FDN27,20.85,BeoThap,0.039555016,Thit_Tuoi,116.8808,OUT035,2004,Nho,Do_Thi_2,Sieu_Thi_1,820.2656
FDN16,12.6,BeoThuong,0.062827447,Do_Dong_Lanh,105.099,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,1444.786
FDV23,11.0,BeoThap,0.106051405,Banh_Mi,124.4046,OUT045,2002,,Do_Thi_2,Sieu_Thi_1,2241.0828
